2024-08-15 21:50:20,935:INFO:Starting data pipeline...
2024-08-15 21:50:20,936:INFO:Extracting data...
2024-08-15 21:50:23,022:INFO:Transforming data...
2024-08-15 21:50:23,042:INFO:Training and saving model...
2024-08-15 21:50:23,188:INFO:Evaluating model...
2024-08-15 21:50:23,224:INFO:Visualizing data...
2024-08-15 21:50:23,311:DEBUG:Loaded backend macosx version unknown.
2024-08-15 21:50:23,594:DEBUG:findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-08-15 21:50:23,594:DEBUG:findfont: score(FontEntry(fname='/Users/diyasayal/Documents/GitHub/inst414-final-project-Diya-Sayal/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
